access_point,ap_radio_profile,floor_level,x_delta_from_insertion_point_m,y_delta_from_insertion_point_m,insertion_point_x_m,insertion_point_y_m,insertion_point_source,x_coordinate_m,y_coordinate_m,coordinate_reference,dxf_alignment_applied,dxf_alignment_method,dxf_export_offset_x_m,dxf_export_offset_y_m,dxf_alignment_rotation_deg,dxf_alignment_scale,dxf_source_path
AP-1,Wi-Fi 7 tri-band,00,168.10523824585835,-75.62499212095281,0.0,0.0,Aligned DXF base point (LHC-RYD-MB-00-DG-AR-300001.dxf),168.10523824585835,-75.62499212095281,aligned DXF coordinates,True,two_point,-367998.6034585367,-358298.35905851575,-2.6740480915524575e-06,1.0000000454554112,C:\Users\tombe\Downloads\1 References_selected_2026-07-02_12-20-41pm\LHC-RYD-MB-00-DG-AR-300001.dxf
AP-10,Wi-Fi 7 tri-band,00,34.55497768573696,-15.954998745466582,0.0,0.0,Aligned DXF base point (LHC-RYD-MB-00-DG-AR-300001.dxf),34.55497768573696,-15.954998745466582,aligned DXF coordinates,True,two_point,-367998.6034585367,-358298.35905851575,-2.6740480915524575e-06,1.0000000454554112,C:\Users\tombe\Downloads\1 References_selected_2026-07-02_12-20-41pm\LHC-RYD-MB-00-DG-AR-300001.dxf
AP-100,Wi-Fi 7 tri-band,00,69.55497562809614,-5.954997566528618,0.0,0.0,Aligned DXF base point (LHC-RYD-MB-00-DG-AR-300001.dxf),69.55497562809614,-5.954997566528618,aligned DXF coordinates,True,two_point,-367998.6034585367,-358298.35905851575,-2.6740480915524575e-06,1.0000000454554112,C:\Users\tombe\Downloads\1 References_selected_2026-07-02_12-20-41pm\LHC-RYD-MB-00-DG-AR-300001.dxf
AP-101,Wi-Fi 7 tri-band,00,183.99148787843296,-137.75538128626067,0.0,0.0,Aligned DXF base point (LHC-RYD-MB-00-DG-AR-300001.dxf),183.99148787843296,-137.75538128626067,aligned DXF coordinates,True,two_point,-367998.6034585367,-358298.35905851575,-2.6740480915524575e-06,1.0000000454554112,C:\Users\tombe\Downloads\1 References_selected_2026-07-02_12-20-41pm\LHC-RYD-MB-00-DG-AR-300001.dxf
AP-102,Wi-Fi 7 tri-band,00,136.1729852903518,-158.9329291920294,0.0,0.0,Aligned DXF base point (LHC-RYD-MB-00-DG-AR-300001.dxf),136.1729852903518,-158.9329291920294,aligned DXF coordinates,True,two_point,-367998.6034585367,-358298.35905851575,-2.6740480915524575e-06,1.0000000454554112,C:\Users\tombe\Downloads\1 References_selected_2026-07-02_12-20-41pm\LHC-RYD-MB-00-DG-AR-300001.dxf
AP-103,Wi-Fi 7 tri-band,00,164.55497737706173,-135.95498722360935,0.0,0.0,Aligned DXF base point (LHC-RYD-MB-00-DG-AR-300001.dxf),164.55497737706173,-135.95498722360935,aligned DXF coordinates,True,two_point,-367998.6034585367,-358298.35905851575,-2.6740480915524575e-06,1.0000000454554112,C:\Users\tombe\Downloads\1 References_selected_2026-07-02_12-20-41pm\LHC-RYD-MB-00-DG-AR-300001.dxf
AP-104,Wi-Fi 7 tri-band,00,69.55497912841383,-80.95499415736413,0.0,0.0,Aligned DXF base point (LHC-RYD-MB-00-DG-AR-300001.dxf),69.55497912841383,-80.95499415736413,aligned DXF coordinates,True,two_point,-367998.6034585367,-358298.35905851575,-2.6740480915524575e-06,1.0000000454554112,C:\Users\tombe\Downloads\1 References_selected_2026-07-02_12-20-41pm\LHC-RYD-MB-00-DG-AR-300001.dxf
AP-105,Wi-Fi 7 tri-band,00,124.55497592833126,-65.95499227230903,0.0,0.0,Aligned DXF base point (LHC-RYD-MB-00-DG-AR-300001.dxf),124.55497592833126,-65.95499227230903,aligned DXF coordinates,True,two_point,-367998.6034585367,-358298.35905851575,-2.6740480915524575e-06,1.0000000454554112,C:\Users\tombe\Downloads\1 References_selected_2026-07-02_12-20-41pm\LHC-RYD-MB-00-DG-AR-300001.dxf
AP-106,Wi-Fi 7 tri-band,00,177.1269941488863,-35.08808700897498,0.0,0.0,Aligned DXF base point (LHC-RYD-MB-00-DG-AR-300001.dxf),177.1269941488863,-35.08808700897498,aligned DXF coordinates,True,two_point,-367998.6034585367,-358298.35905851575,-2.6740480915524575e-06,1.0000000454554112,C:\Users\tombe\Downloads\1 References_selected_2026-07-02_12-20-41pm\LHC-RYD-MB-00-DG-AR-300001.dxf
AP-107,Wi-Fi 7 tri-band,00,136.9824856207706,-6.0999914247659035,0.0,0.0,Aligned DXF base point (LHC-RYD-MB-00-DG-AR-300001.dxf),136.9824856207706,-6.0999914247659035,aligned DXF coordinates,True,two_point,-367998.6034585367,-358298.35905851575,-2.6740480915524575e-06,1.0000000454554112,C:\Users\tombe\Downloads\1 References_selected_2026-07-02_12-20-41pm\LHC-RYD-MB-00-DG-AR-300001.dxf
AP-108,Wi-Fi 7 tri-band,00,81.40598693606444,-97.99999201786704,0.0,0.0,Aligned DXF base point (LHC-RYD-MB-00-DG-AR-300001.dxf),81.40598693606444,-97.99999201786704,aligned DXF coordinates,True,two_point,-367998.6034585367,-358298.35905851575,-2.6740480915524575e-06,1.0000000454554112,C:\Users\tombe\Downloads\1 References_selected_2026-07-02_12-20-41pm\LHC-RYD-MB-00-DG-AR-300001.dxf
AP-109,Wi-Fi 7 tri-band,00,44.55497863132041,-45.954996915126685,0.0,0.0,Aligned DXF base point (LHC-RYD-MB-00-DG-AR-300001.dxf),44.55497863132041,-45.954996915126685,aligned DXF coordinates,True,two_point,-367998.6034585367,-358298.35905851575,-2.6740480915524575e-06,1.0000000454554112,C:\Users\tombe\Downloads\1 References_selected_2026-07-02_12-20-41pm\LHC-RYD-MB-00-DG-AR-300001.dxf
